last_name, first_name,player_id,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Tatis Jr., Fernando,665487,2020,.297,.614,.422,.386,.317,95.9,8.7,19.5,
Guerrero Jr., Vladimir,665489,2020,.261,.439,.333,.329,.177,92.5,4.6,8.7,
Soto, Juan,665742,2020,.332,.696,.475,.475,.363,92.1,4.3,18.3,
Gurriel Jr., Lourdes,666971,2020,.281,.486,.347,.325,.205,90.8,10.5,11.7,
Reynolds, Bryan,668804,2020,.228,.403,.314,.310,.175,87.5,10.2,10.2,
Edman, Tommy,669242,2020,.266,.367,.315,.334,.102,86.5,8.2,3.8,
Solak, Nick,669256,2020,.264,.388,.318,.326,.124,89.9,9.4,4.7,
Hiura, Keston,669374,2020,.210,.435,.318,.299,.225,87.4,14.3,14.2,
Lopez, Nicky,670032,2020,.238,.308,.287,.319,.070,84.9,1.4,1.5,
Robert, Luis,673357,2020,.221,.462,.326,.296,.241,87.9,16.7,13,
